"ID"
"unclassified_Lachnospiraceae"
"Dorea"
"Oscillospira"
"Eggerthella"
"Ruminococcus"
"Collinsella"
"Actinomyces"
"Coprococcus"
"Veillonella"
"unclassified_Carnobacteriaceae"
"Blautia"
"Faecalibacterium"
"[Ruminococcus]"
"Oxalobacter"
"Bacteroides"
"unclassified_Ruminococcaceae"
"unclassified_Christensenellaceae"
"Roseburia"
"unclassified_Rikenellaceae"
"Clostridium"
"unclassified_Clostridiales"
"unclassified_[Mogibacteriaceae]"
"Slackia"
"unclassified_Coriobacteriaceae"
"Sutterella"
"Gemmiger"
"Butyricimonas"
"Anaerofilum"
"Prevotella"
"Haemophilus"
"Streptococcus"
"unclassified_Gemellaceae"
"Methanobrevibacter"
"unclassified_Erysipelotrichaceae"
"Lachnospira"
"Alistipes"
"Dialister"
"Parabacteroides"
"Butyricicoccus"
